video_id,cohort,endoscope_brand,n_frames,width,height,aspect_ratio,log_area,corner_black_fraction
002-013,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.7747513182005161
002-014,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6833211098887666
002-015,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.764322575819902
003-001,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6847726439310597
003-002,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6867054761031659
003-003,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.578631127001589
003-004,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5789978303385894
003-005,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6839475614228089
003-006,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.684081255347757
003-007,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6839437415963818
003-008,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6860179073462902
003-009,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.577141394695025
003-010,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5775997738662755
003-011,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5769695025058061
003-012,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5775271971641609
003-013,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6840315976042048
003-014,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6844708776433199
003-015,003,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.683248533186652
004-001,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.42155743320392786
004-002,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.4213861612240237
004-003,004,Olympus,100,1244.0,1080.0,1.151851851851852,14.11080359341739,0.588817536174167
004-004,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.42175249295881856
004-005,004,Olympus,100,1158.0,1024.0,1.130859375,13.985921463732394,0.42152612490082736
004-006,004,Olympus,100,1244.0,1080.0,1.151851851851852,14.11080359341739,0.6144630293375812
004-007,004,Olympus,100,1158.0,1008.0,1.1488095238095237,13.970173106764255,0.37910079240516015
004-008,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.4215574332039278
004-009,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.42042037755956463
004-010,004,Olympus,100,1246.0,1080.0,1.1537037037037037,14.112410019465663,0.6189557613168725
004-011,004,Olympus,100,1164.0,1010.0,1.1524752475247524,13.977323238126688,0.4347881936515186
004-012,004,Olympus,100,1160.0,1052.0,1.102661596958175,14.014623677398065,0.5007092393293799
004-013,004,Olympus,100,1244.0,1080.0,1.151851851851852,14.11080359341739,0.6139278839771671
004-014,004,Olympus,100,1162.0,1007.0,1.153922542204568,13.972628830130418,0.4219523102687067
004-015,004,Olympus,100,1164.0,1034.0,1.125725338491296,14.000807683359758,0.49741842788283275
