frame_id,video_id,synthetic_class,variant,image_path
001-001_19064,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_19064.png
001-001_19064,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19064.png
001-001_19064,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19064.png
001-001_19151,001-001,0,clean,data/e05_synthetic/clean/001-001_19151.png
001-001_19151,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19151.png
001-001_19151,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_19151.png
001-001_19151,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19151.png
001-001_19151,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19151.png
001-001_19259,001-001,0,clean,data/e05_synthetic/clean/001-001_19259.png
001-001_19259,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19259.png
001-001_19259,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_19259.png
001-001_19259,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19259.png
001-001_19259,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19259.png
001-001_19397,001-001,2,clean,data/e05_synthetic/clean/001-001_19397.png
001-001_19397,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19397.png
001-001_19397,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_19397.png
001-001_19397,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19397.png
001-001_19397,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19397.png
001-001_19422,001-001,1,clean,data/e05_synthetic/clean/001-001_19422.png
001-001_19422,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19422.png
001-001_19422,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_19422.png
001-001_19422,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19422.png
001-001_19422,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19422.png
001-001_19772,001-001,0,clean,data/e05_synthetic/clean/001-001_19772.png
001-001_19772,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19772.png
001-001_19772,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_19772.png
001-001_19772,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_19772.png
001-001_19772,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_19772.png
001-001_20124,001-001,0,clean,data/e05_synthetic/clean/001-001_20124.png
001-001_20124,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20124.png
001-001_20124,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_20124.png
001-001_20124,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20124.png
001-001_20124,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20124.png
001-001_20236,001-001,3,clean,data/e05_synthetic/clean/001-001_20236.png
001-001_20236,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20236.png
001-001_20236,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_20236.png
001-001_20236,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20236.png
001-001_20236,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20236.png
001-001_20335,001-001,2,clean,data/e05_synthetic/clean/001-001_20335.png
001-001_20335,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20335.png
001-001_20335,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_20335.png
001-001_20335,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20335.png
001-001_20335,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20335.png
001-001_20398,001-001,3,clean,data/e05_synthetic/clean/001-001_20398.png
001-001_20398,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20398.png
001-001_20398,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_20398.png
001-001_20398,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20398.png
001-001_20398,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20398.png
001-001_20483,001-001,3,clean,data/e05_synthetic/clean/001-001_20483.png
001-001_20483,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20483.png
001-001_20483,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_20483.png
001-001_20483,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20483.png
001-001_20483,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20483.png
001-001_20564,001-001,1,clean,data/e05_synthetic/clean/001-001_20564.png
001-001_20564,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20564.png
001-001_20564,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_20564.png
001-001_20564,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20564.png
001-001_20564,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20564.png
001-001_20613,001-001,2,clean,data/e05_synthetic/clean/001-001_20613.png
001-001_20613,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20613.png
001-001_20613,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_20613.png
001-001_20613,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20613.png
001-001_20613,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20613.png
001-001_20951,001-001,2,clean,data/e05_synthetic/clean/001-001_20951.png
001-001_20951,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_20951.png
001-001_20951,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_20951.png
001-001_20951,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_20951.png
001-001_20951,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_20951.png
001-001_21021,001-001,1,clean,data/e05_synthetic/clean/001-001_21021.png
001-001_21021,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_21021.png
001-001_21021,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_21021.png
001-001_21021,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_21021.png
001-001_21021,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_21021.png
001-001_21466,001-001,1,clean,data/e05_synthetic/clean/001-001_21466.png
001-001_21466,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_21466.png
001-001_21466,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_21466.png
001-001_21466,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_21466.png
001-001_21466,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_21466.png
001-001_21689,001-001,3,clean,data/e05_synthetic/clean/001-001_21689.png
001-001_21689,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_21689.png
001-001_21689,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_21689.png
001-001_21689,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_21689.png
001-001_21689,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_21689.png
001-001_21789,001-001,1,clean,data/e05_synthetic/clean/001-001_21789.png
001-001_21789,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_21789.png
001-001_21789,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_21789.png
001-001_21789,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_21789.png
001-001_21789,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_21789.png
001-001_22045,001-001,0,clean,data/e05_synthetic/clean/001-001_22045.png
001-001_22045,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22045.png
001-001_22045,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_22045.png
001-001_22045,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22045.png
001-001_22045,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22045.png
001-001_22268,001-001,0,clean,data/e05_synthetic/clean/001-001_22268.png
001-001_22268,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22268.png
001-001_22268,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_22268.png
001-001_22268,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22268.png
001-001_22268,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22268.png
001-001_22408,001-001,3,clean,data/e05_synthetic/clean/001-001_22408.png
001-001_22408,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22408.png
001-001_22408,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_22408.png
001-001_22408,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22408.png
001-001_22408,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22408.png
001-001_22494,001-001,3,clean,data/e05_synthetic/clean/001-001_22494.png
001-001_22494,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22494.png
001-001_22494,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_22494.png
001-001_22494,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22494.png
001-001_22494,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22494.png
001-001_22890,001-001,2,clean,data/e05_synthetic/clean/001-001_22890.png
001-001_22890,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22890.png
001-001_22890,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_22890.png
001-001_22890,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22890.png
001-001_22890,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22890.png
001-001_22963,001-001,0,clean,data/e05_synthetic/clean/001-001_22963.png
001-001_22963,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22963.png
001-001_22963,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_22963.png
001-001_22963,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22963.png
001-001_22963,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22963.png
001-001_22970,001-001,3,clean,data/e05_synthetic/clean/001-001_22970.png
001-001_22970,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_22970.png
001-001_22970,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_22970.png
001-001_22970,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_22970.png
001-001_22970,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_22970.png
001-001_23116,001-001,0,clean,data/e05_synthetic/clean/001-001_23116.png
001-001_23116,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23116.png
001-001_23116,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_23116.png
001-001_23116,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23116.png
001-001_23116,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23116.png
001-001_23241,001-001,3,clean,data/e05_synthetic/clean/001-001_23241.png
001-001_23241,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23241.png
001-001_23241,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_23241.png
001-001_23241,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23241.png
001-001_23241,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23241.png
001-001_23423,001-001,2,clean,data/e05_synthetic/clean/001-001_23423.png
001-001_23423,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23423.png
001-001_23423,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_23423.png
001-001_23423,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23423.png
001-001_23423,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23423.png
001-001_23531,001-001,1,clean,data/e05_synthetic/clean/001-001_23531.png
001-001_23531,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23531.png
001-001_23531,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_23531.png
001-001_23531,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23531.png
001-001_23531,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23531.png
001-001_23696,001-001,0,clean,data/e05_synthetic/clean/001-001_23696.png
001-001_23696,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23696.png
001-001_23696,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_23696.png
001-001_23696,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23696.png
001-001_23696,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23696.png
001-001_23880,001-001,3,clean,data/e05_synthetic/clean/001-001_23880.png
001-001_23880,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_23880.png
001-001_23880,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_23880.png
001-001_23880,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_23880.png
001-001_23880,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_23880.png
001-001_24051,001-001,2,clean,data/e05_synthetic/clean/001-001_24051.png
001-001_24051,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24051.png
001-001_24051,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_24051.png
001-001_24051,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24051.png
001-001_24051,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24051.png
001-001_24144,001-001,3,clean,data/e05_synthetic/clean/001-001_24144.png
001-001_24144,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24144.png
001-001_24144,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_24144.png
001-001_24144,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24144.png
001-001_24144,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24144.png
001-001_24207,001-001,2,clean,data/e05_synthetic/clean/001-001_24207.png
001-001_24207,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24207.png
001-001_24207,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_24207.png
001-001_24207,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24207.png
001-001_24207,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24207.png
001-001_24326,001-001,0,clean,data/e05_synthetic/clean/001-001_24326.png
001-001_24326,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24326.png
001-001_24326,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_24326.png
001-001_24326,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24326.png
001-001_24326,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24326.png
001-001_24453,001-001,3,clean,data/e05_synthetic/clean/001-001_24453.png
001-001_24453,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24453.png
001-001_24453,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_24453.png
001-001_24453,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24453.png
001-001_24453,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24453.png
001-001_24713,001-001,1,clean,data/e05_synthetic/clean/001-001_24713.png
001-001_24713,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_24713.png
001-001_24713,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_24713.png
001-001_24713,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_24713.png
001-001_24713,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_24713.png
001-001_25016,001-001,3,clean,data/e05_synthetic/clean/001-001_25016.png
001-001_25016,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_25016.png
001-001_25016,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_25016.png
001-001_25016,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_25016.png
001-001_25016,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_25016.png
001-001_25163,001-001,2,clean,data/e05_synthetic/clean/001-001_25163.png
001-001_25163,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_25163.png
001-001_25163,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_25163.png
001-001_25163,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_25163.png
001-001_25163,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_25163.png
001-001_25180,001-001,3,clean,data/e05_synthetic/clean/001-001_25180.png
001-001_25180,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_25180.png
001-001_25180,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_25180.png
001-001_25180,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_25180.png
001-001_25180,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_25180.png
001-001_25286,001-001,2,clean,data/e05_synthetic/clean/001-001_25286.png
001-001_25286,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_25286.png
001-001_25286,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_25286.png
